ID,Item Name,Description,Price,Image
"178452","Vase Saviosa","This modern brown glass vase offers a textured finish, ideal for a living room or bedroom. A refined accessory that adds style to a hallway or terrace.","$54","https://cdn.globus.pictures/fr/private/1500/1500/f35278a808cd442910881626753a01549d973f4ddee31701f32f1841f33a93ed.jpeg::522:300/970:1208?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178446","Candlestick Marzeta","Modern metal candlestick with a minimalist silhouette for a living room or hallway. This piece adds a refined accent to any bedroom or dining room.","$88","https://cdn.globus.pictures/fr/private/1500/1500/c043a711f8c4fed11f5ddba12e023940bc5964248a993cca6bd95191bc2e329c.jpeg::536:309/865:1108?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178444","Figurine Primari","Modern black figurine featuring a minimalist silhouette. This stylish accent piece fits a living room, bedroom, or hallway for a sleek contemporary feel.","$88","https://cdn.globus.pictures/fr/private/1500/1500/307de698b435dbd3a4c3138dc7126f2f78e428bfbad1c4f757805113bae3bfd3.jpeg::388:301/990:1123?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178443","Dishes Cestius","Refine your modern kitchen with this sculpted decorative dish. Its textured brown finish and organic form create a unique accent for a luxury dining room.","$74","https://cdn.globus.pictures/fr/private/1500/1500/d281947829d0b7f762cdfa420d5e42d5c44105adc1d844b3decf73340be1d85f.jpeg::192:505/1204:933?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178368","Painting Malezio","This modern abstract painting adds a subtle touch to a living room or bedroom. Its neutral palette suits a dining room or hallway interior beautifully.","$320","https://cdn.globus.pictures/fr/private/1000/1000/89801835b64350156af82b1378efc68c4c1b380e04eb16c5e9986a765822b21d.png::301:195/636:772?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1244&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1244"
"178338","Carpet Oppulento","Modern round polyester carpet with a black radial pattern on beige. Ideal for a living room, bedroom, dining room, or hallway with a contemporary style.","$69","https://cdn.globus.pictures/fr/private/1375/1375/b7dad44c7bf724b1156f4cd3ade37980b592b1d1ba73504f95c8ec642c40664d.png::296:274/1034:1011?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178450","Vase Pietruca","This modern ceramic vase features sage green crackle glaze and geometric silhouette, ideal for a living room, bedroom, dining area, hallway, or terrace.","$148","https://cdn.globus.pictures/fr/private/1500/1500/2857a705e452e8ac3848ca9e44f2be008de41327441a7a3062a1bcd58ad46a08.jpeg::456:354/1049:1214?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178440","Candlestick Tenaria","This modern black metal candlestick features a minimalist tiered design, adding a sleek accent to your living room, dining room, bedroom, or hallway.","$95","https://cdn.globus.pictures/fr/private/1500/1500/7d269abb8e85f5d56c5b5453c25cf81e00b8f315af70a2f02f5e728ba1f44b00.jpeg::550:293/867:1150?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178441","Figurine Vitauna","This modern stone lion figurine adds a refined touch to your living room. A sophisticated decor piece suitable for a contemporary bedroom or hallway.","$326","https://cdn.globus.pictures/fr/private/1500/1500/e8c364d6a26b1dc6d8dd43570380b1541c65876d048b2f4a2b0b70072248d74c.jpeg::447:242/1007:1236?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178367","Painting Franatica","Enhance a living room or bedroom with this modern abstract painting. The geometric black and white design adds texture to a dining room or hallway.","$506","https://cdn.globus.pictures/fr/private/1375/1375/78b0c7f87e3a18f8b54b3ca2bc1a50de2ec771d5df47ba1ac2235452ba459a3b.png::362:225/1058:1071?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178337","Carpet Ristorato","Modern polyester carpet featuring a beige geometric pattern. This piece is ideal for a stylish living room, bedroom, home office, or hallway area.","$69","https://cdn.globus.pictures/fr/private/1375/1375/03f2bee385d3c3d20c97337564dc7d2cfb4d60fa54f9b52d1a19805461a9f6a1.png::206:305/1168:1080?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178447","Vase Riservi","This modern ceramic vase features a dark textured surface, perfect for a living room, hallway, or bedroom. It adds style to a terrace or dining room.","$115","https://cdn.globus.pictures/fr/private/1500/1500/856fc2418327951114ec226f49de9f0096813c2df052e7d434fe3994a6764388.jpeg::431:440/1034:1112?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178438","Figurine Previta","Minimalist white figurine with a modern geometric silhouette. This sleek accent fits a living room, bedroom, or hallway, adding a contemporary touch.","$62","https://cdn.globus.pictures/fr/private/1500/1500/5ed5f9f80b4ebff92fe2895c81babddbc2ec092f9b4907357f5699d6956cf695.jpeg::540:403/895:1103?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178365","Painting Regales","This modern green painting adds a refined touch to a living room. Its abstract style complements a contemporary bedroom, dining room, or hallway wall.","$329","https://cdn.globus.pictures/fr/private/1000/1000/e7d534eaa4257332ce57c02932183845fa3c81d46776d1f5f6bef7c5fd712068.png::279:247/718:778?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1244&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1244"
"178334","Carpet Prediletta","This modern polyester carpet features a geometric square pattern in beige and brown. Ideal for a living room, bedroom, or home office in a stylish home.","$69","https://cdn.globus.pictures/fr/private/1375/1375/bbc9334f208d6fd2a42a1a144fd969ce0530ef64323990219f6b97318ce607c3.png::54:305/1323:1083?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178437","Figurine Florici","Enhance a modern living room, bedroom, or hallway with this black lion figurine. A golden crown detail offers a refined look for a console table.","$74","https://cdn.globus.pictures/fr/private/1500/1500/b2ad5751cd27d0d9c79367a3ca97baa12a986239a2ddcd6e816fb9388ad29fde.jpeg::430:307/953:1226?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178364","Painting Naturita","This modern abstract painting features earthy texture and a sleek frame. A versatile addition to a living room, bedroom, dining room, or quiet hallway.","$356","https://cdn.globus.pictures/fr/private/1000/1000/52838ba08186b90bea530137554f68403e2a95341dccad8e2e16780decb8471f.png::247:277/672:702?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1244&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1244"
"178332","Carpet Campiello","This modern polyester carpet features a minimalist line design and irregular shape, providing a refined touch for a living room, bedroom, or home office.","$69","https://cdn.globus.pictures/fr/private/1375/1375/34424e6116b957498e0cd2f5aac4a489be9d16f1eaec810d8384c7bb8a96b209.png::140:302/1230:1112?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178420","Figurine Opheo","Modern black torso figurine on a white base. This artistic sculpture brings a subtle accent to your living room, bedroom, or hallway decor.","$85","https://cdn.globus.pictures/fr/private/1500/1500/4d14d2f4f05ce84ab27b52bec45676b83f2da178d370d5814ef436dbd9f47646.jpeg::587:301/888:1142?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178361","Painting Celestri","This modern red painting features a unique geometric abstract design, ideal for a luxury living room, bedroom, hallway, or dining room interior.","$515","https://cdn.globus.pictures/fr/private/1000/1000/d35f29ed0e7f4dd63e5a44825220a51c4ad7c4463c5379d7d3b3dfe3c8b2e360.png::236:228/710:802?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1244&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1244"